fighter_name,wins,losses,win_loss_ratio
Khabib Nurmagomedov,29,0,29.0
Movlid Khaybulaev,21,0,21.0
Shavkat Rakhmonov,18,0,18.0
Lucas Brennan,18,0,18.0
Movsar Evloev,17,0,17.0
Umar Nurmagomedov,17,0,17.0
Usman Nurmagomedov,17,0,17.0
Johnny Eblen,15,0,15.0
Ilia Topuria,15,0,15.0
Anatoliy Malykhin,14,0,14.0
Jon Jones,27,1,13.5
Yaroslav Amosov,27,1,13.5
Khamzat Chimaev,13,0,13.0
Lerone Murphy,13,0,13.0
Islam Makhachev,25,1,12.5
Rafael Lovato Jr.,11,0,11.0
Tatiana Suarez,10,0,10.0
Magomed Ankalaev,19,1,9.5
Patrick Mix,19,1,9.5
Dalton Rosta,9,0,9.0
Sean O'Malley,18,1,9.0
Zabit Magomedsharipov,18,1,9.0
Kairat Akhmetov,26,2,8.666666666666666
Megumi Fujii,26,2,8.666666666666666
Georges St. Pierre,26,2,8.666666666666666
Cristiane Justino,26,2,8.666666666666666
Jack Shore,16,1,8.0
Sean Brady,16,1,8.0
Damir Ismagulov,24,2,8.0
A.J. McKee,23,2,7.666666666666667
Vitaly Minakov,23,2,7.666666666666667
Mateusz Gamrot,23,2,7.666666666666667
Sean Sherk,36,4,7.2
Dricus Du Plessis,21,2,7.0
Michael Page,21,2,7.0
Askar Askarov,14,1,7.0
Ruslan Magomedov,14,1,7.0
Grant Dawson,20,2,6.666666666666667
Raufeon Stots,20,2,6.666666666666667
Nazareno Malegarie,33,4,6.6
Ben Askren,19,2,6.333333333333333
Rashid Magomedov,19,2,6.333333333333333
Arnold Allen,19,2,6.333333333333333
Weili Zhang,25,3,6.25
Anatoly Tokov,31,4,6.2
Manon Fiorot,12,1,6.0
Kiamrian Abbasov,12,1,6.0
Belal Muhammad,24,3,6.0
Sean Woodson,12,1,6.0
Sergei Pavlovich,18,2,6.0
Israel Adesanya,24,3,6.0
Vadim Nemkov,17,2,5.666666666666667
Reinier de Ridder,17,2,5.666666666666667
Amir Albazi,17,2,5.666666666666667
Kyoji Horiguchi,34,5,5.666666666666667
Bas Rutten,28,4,5.6
Leon Edwards,22,3,5.5
Dan Cormier,22,3,5.5
Daniel Cormier,22,3,5.5
Arman Tsarukyan,22,3,5.5
Tom Duquesnoy,16,2,5.333333333333333
Bryce Mitchell,16,2,5.333333333333333
Henry Cejudo,16,2,5.333333333333333
Alexey Kunchenko,21,3,5.25
Alexander Volkanovski,26,4,5.2
Dan Severn,101,19,5.05
Lowen Tynanes,10,1,5.0
Bobby Lashley,15,2,5.0
Jiri Prochazka,30,5,5.0
Alexandr Shabliy,25,4,5.0
Ross Houston,10,1,5.0
Royce Gracie,15,2,5.0
Mike Russow,15,2,5.0
Islam Mamedov,20,3,5.0
Lance Gibson Jr.,10,1,5.0
Joel Alvarez,20,3,5.0
Chris Holdsworth,5,0,5.0
Demetrious Johnson,25,4,5.0
Carlos Ulberg,10,1,5.0
Fedor Emelianenko,40,7,5.0
Gegard Mousasi,49,9,4.9
Shinya Aoki,48,9,4.8
Aljamain Sterling,24,4,4.8
Rustam Khabilov,24,4,4.8
Albert Tumenov,24,4,4.8
Dominick Cruz,24,4,4.8
Magomed Magomedov,19,3,4.75
Ottman Azaitar,14,2,4.666666666666667
Magomed Bibulatov,14,2,4.666666666666667
Paulo Costa,14,2,4.666666666666667
Adlan Amagov,14,2,4.666666666666667
Brendan Loughnane,28,5,4.666666666666667
Shamil Gamzatov,14,2,4.666666666666667
Iuri Lapicus,14,2,4.666666666666667
Juan Archuleta,28,5,4.666666666666667
Maycee Barber,14,2,4.666666666666667
Vitaly Bigdash,14,2,4.666666666666667
Mario Bautista,14,2,4.666666666666667
Tagir Ulanbekov,14,2,4.666666666666667
Gregor Gillespie,14,2,4.666666666666667
